### [HowOften] Beta blockers
|Concept ID|Concept Name|Code|Vocabulary|Excluded|Descendants|Mapped
|:---|:---------------------------------------|:--|:-----|:--:|:--:|:--:|
|1319998|acebutolol|149|RxNorm|NO|YES|NO|
|1314002|atenolol|1202|RxNorm|NO|YES|NO|
|1322081|betaxolol|1520|RxNorm|NO|YES|NO|
|1338005|bisoprolol|19484|RxNorm|NO|YES|NO|
|1346823|carvedilol|20352|RxNorm|NO|YES|NO|
|1386957|labetalol|6185|RxNorm|NO|YES|NO|
|1307046|metoprolol|6918|RxNorm|NO|YES|NO|
|1313200|nadolol|7226|RxNorm|NO|YES|NO|
|1314577|nebivolol|31555|RxNorm|NO|YES|NO|
|1327978|penbutolol|7973|RxNorm|NO|YES|NO|
|1345858|pindolol|8332|RxNorm|NO|YES|NO|
|1353766|propranolol|8787|RxNorm|NO|YES|NO|
